stock_code,stock_name,price,last_close,open,volume,change_amt,change_pct,high,low,amount_wan,turnover_pct,pe_ttm,amplitude_pct,mcap_yi,float_mcap_yi,pb,limit_up,limit_down,vol_ratio
000408,藏格矿业,77.18,77.68,79.30,13006200.0,-0.50,-0.64,79.78,76.98,101497,0.83,25.88,3.60,1210.88,1210.89,6.86,85.45,69.91,0.83
000409,云鼎科技,9.59,10.06,10.25,17435000.0,-0.47,-4.67,10.25,9.56,17053,2.95,91.94,6.86,56.63,65.00,3.96,11.07,9.05,0.87
000410,沈阳机床,5.26,5.39,5.42,21141600.0,-0.13,-2.41,5.42,5.25,11234,1.07,-262.78,3.15,103.68,139.34,3.34,5.93,4.85,0.92
000411,英特集团,11.68,11.54,11.55,21797700.0,0.14,1.21,11.79,11.34,25226,3.87,13.73,3.90,65.84,65.97,1.22,12.69,10.39,1.15
000412,ST五环,2.89,2.89,0.00,0.0,0.00,0.00,0.00,0.00,0,0.00,-26.10,0.00,3.07,8.35,-6.75,-1,-1,0.00
000413,ST旭电,0.37,0.37,0.00,0.0,0.00,0.00,0.00,0.00,0,0.00,-1.35,0.00,18.61,20.84,0.10,-1,-1,0.00
000415,渤海租赁,4.12,4.17,4.18,58859600.0,-0.05,-1.20,4.25,4.11,24502,1.09,-151.84,3.36,222.19,254.80,0.85,4.59,3.75,0.79
000416,*ST民控,0.45,0.45,0.00,0.0,0.00,0.00,0.00,0.00,0,0.00,-1.83,0.00,2.39,2.39,0.33,-1,-1,0.00
000417,合百集团,7.50,7.61,7.67,112254400.0,-0.11,-1.45,7.85,7.43,86178,14.41,39.19,5.52,58.43,58.49,1.23,8.37,6.85,0.61
000418,小天鹅A,57.39,57.39,0.00,0.0,0.00,0.00,0.00,0.00,0,0.00,18.57,0.00,252.14,362.98,4.06,-1,-1,0.00
000419,通程控股,5.12,5.10,5.09,7608100.0,0.02,0.39,5.22,5.08,3928,1.40,19.52,2.75,27.83,27.83,0.81,5.61,4.59,0.90
000420,吉林化纤,4.46,4.60,4.70,172445800.0,-0.14,-3.04,4.76,4.43,78787,7.02,262.92,7.17,109.63,109.67,2.47,5.06,4.14,2.09
